lote_id,t_utc,t_local,bt_min_k,bt_mean_k,n_pix,btd_wv_ir_max,btd_split_min,f235,f225,f215,f205,enfriamiento_k_10min,score_escena
punto,2026-07-31T10:40:21.500000+00:00,2026-07-31T07:40:21.500000-03:00,271.829096801579,279.4050186905405,243,-36.131985165178776,0.031413912773132324,0,0,0,0,,0.0
punto,2026-07-31T10:50:21.500000+00:00,2026-07-31T07:50:21.500000-03:00,271.829096801579,279.9810835600681,243,-36.1242880821228,0.10232973098754883,0,0,0,0,,0.0
punto,2026-07-31T11:00:21.500000+00:00,2026-07-31T08:00:21.500000-03:00,272.074910081923,280.97556043956797,243,-35.939939334988594,0.1278255581855774,0,0,0,0,,0.0
punto,2026-07-31T11:10:21.500000+00:00,2026-07-31T08:10:21.500000-03:00,272.68944328278303,282.6778736797809,243,-36.23952006548643,0.15053555369377136,0,0,0,0,,0.0
punto,2026-07-31T11:20:21.500000+00:00,2026-07-31T08:20:21.500000-03:00,273.11961652338505,283.0684772297912,243,-36.24719472229481,0.0976513996720314,0,0,0,0,,0.0
punto,2026-07-31T11:30:21.500000+00:00,2026-07-31T08:30:21.500000-03:00,274.5944962054491,282.4480249406912,243,-37.04223373532295,0.32264718413352966,0,0,0,0,,0.0
punto,2026-07-31T11:40:21.500000+00:00,2026-07-31T08:40:21.500000-03:00,274.3486829251051,283.11776506642235,243,-36.92701296508312,0.20352554321289062,0,0,0,0,,0.0
punto,2026-07-31T11:50:21.500000+00:00,2026-07-31T08:50:21.500000-03:00,274.3486829251051,284.39994592526546,243,-37.56076084077358,0.460693821310997,0,0,0,0,,0.0
punto,2026-07-31T12:00:21.500000+00:00,2026-07-31T09:00:21.500000-03:00,275.57774932682514,285.66708559305715,243,-38.7053275257349,0.8256287425756454,0,0,0,0,,0.0
punto,2026-07-31T12:10:21.500000+00:00,2026-07-31T09:10:21.500000-03:00,275.94646924734116,286.4133018547974,243,-39.369796454906464,0.5987404584884644,0,0,0,0,,0.0
punto,2026-07-31T12:20:21.500000+00:00,2026-07-31T09:20:21.500000-03:00,278.58896201103926,286.7620686827481,243,-41.67429035156965,0.9193603917956352,0,0,0,0,,0.0
punto,2026-07-31T12:30:21.500000+00:00,2026-07-31T09:30:21.500000-03:00,284.3655740991235,287.5087937058563,243,-47.45090243965387,1.2153778299689293,0,0,0,0,,0.0
punto,2026-07-31T12:40:21.500000+00:00,2026-07-31T09:40:21.500000-03:00,284.3041207790375,287.7022792142623,243,-47.55844855308533,1.1927736699581146,0,0,0,0,,0.0
punto,2026-07-31T12:50:21.500000+00:00,2026-07-31T09:50:21.500000-03:00,285.4102805405855,287.9273159665988,243,-48.722218699753284,1.254226990044117,0,0,0,0,,0.0
